,sentence,word,nell_category,word_tag,nell_category_tag,word_is_category,distance_from_category,number_of_occurrences,is_category_candidate
44,"Most complete list of male actors that act stupid ie. jerry lewis, jack tripper, fred flintstone,?",male,actor,JJ,NNS,yes,1,18,
45,List of young korean actors?,young,actor,JJ,NNS,no,2,15,
46,List of young korean actors?,korean,actor,JJ,NNS,no,1,4,
47,I'm writing a book and i need a list of brunette actors?,brunette,actor,NN,NNS,no,1,1,
48,List of English Voice Actors!?,english,actor,JJ,NNS,no,2,3,
49,List of English Voice Actors!?,voice,actor,NN,NNS,no,1,5,
50,List of greek and roman actors from 900-600bc?,roman,actor,JJ,NNS,no,1,1,
51,List of young actors and actresses?,young,actor,JJ,NNS,no,1,15,
52,"
Any cute korean actors?",cute,actor,JJ,NNS,no,2,2,
53,"
Any cute korean actors?",korean,actor,JJ,NNS,no,1,4,
54,"A-list,b-list, and c-list actors?",c-list,actor,JJ,NNS,no,1,2,
55,A list of GOOD black actors and actresses?, goo,actor,nan,NNS,no,9,1,
56,A list of GOOD black actors and actresses?,black,actor,JJ,NNS,no,1,7,
57,I need help in finding a listing of all of the gay actors either in movies or on tv. This is for a group proj,gay,actor,NN,NNS,no,1,4,
58,Can someone give me a list of independent movies with big name actors?,independent,movie,JJ,NNS,no,1,1,
59,Can someone give me a list of independent movies with big name actors?,big,actor,JJ,NNS,no,2,1,
60,Can someone give me a list of independent movies with big name actors?,name,actor,NN,NNS,no,1,2,
61,Can you give me a list of some young Korean actors?,young,actor,JJ,NNS,no,2,15,
62,Can you give me a list of some young Korean actors?,korean,actor,JJ,NNS,no,1,4,
63,Can i have a small list of most elite bollywood actors and actresses?,elite,actor,JJ,NNS,no,2,1,
64,Can i have a small list of most elite bollywood actors and actresses?,bollywood,actor,NN,NNS,no,1,5,
65,Do you Know List of muslim actors in Bollywood?,muslim,actor,JJ,NNS,no,1,1,
66,Can you give me a big list of famous actors and actresses of the year through 1945 to 1999?,famous,actor,JJ,NNS,no,1,10,
67,A list of Hollywood/Broadway actors college?,hollywood,actor,nan,NNS,no,7,3,
68,A list of Hollywood/Broadway actors college?,broadway,actor,nan,NNS,no,7,1,
69,A list of Hollywood/Broadway actors college?,college,actor,NN,NNS,no,1,1,
70,I need a list of actors/actresses that fit these descriptions?,actress,actor,nan,nan,no,11,8,
71,List of animes who have English voice actors?,english,actor,JJ,NNS,no,2,3,
72,List of animes who have English voice actors?,voice,actor,NN,NNS,no,1,5,
73,List of animes who have English voice actors?,english,actor,JJ,NNS,no,2,3,
74,List of animes who have English voice actors?,voice,actor,NN,NNS,no,1,5,
75,Can someone make a list of top 20 male actors who have gotten fat in 2007?,actor,male,NNS,JJ,yes,1,18,
76,Can someone make a list of top 20 male actors who have gotten fat in 2007?,male,actor,JJ,NNS,yes,1,18,
77,List of male/female actors?,female,male,nan,nan,yes,5,1,
78,List of male/female actors?,actor,male,NNS,nan,yes,5,18,
79,List of male/female actors?,male,actor,nan,NNS,yes,5,18,
80,List of male/female actors?,female,actor,nan,NNS,yes,5,4,
81,List of male/female actors?,male,female,nan,nan,yes,5,1,
82,List of male/female actors?,actor,female,NNS,nan,yes,5,4,
83,I need a list of 15-19 year old actors?,15-19,actor,JJ,NNS,no,3,1,
84,I need a list of 15-19 year old actors?,year,actor,NN,NNS,yes,2,5,
85,I need a list of 15-19 year old actors?,old,actor,JJ,NNS,no,1,8,
86,I need a list of 15-19 year old actors?,15-19,year,JJ,NN,no,1,1,
87,I need a list of 15-19 year old actors?,old,year,JJ,NN,no,1,6,
88,I need a list of 15-19 year old actors?,actor,year,NNS,NN,yes,2,5,
89,Current 13 year old actors?,year,actor,NN,NNS,yes,2,5,
90,Current 13 year old actors?,old,actor,JJ,NNS,no,1,8,
91,Current 13 year old actors?,old,year,JJ,NN,no,1,6,
92,Current 13 year old actors?,actor,year,NNS,NN,yes,2,5,
93,Name actors and actresses who...?,name,actor,NN,NNS,no,1,2,
94,Do you know any male B-list actors?,b-list,male,JJ,JJ,no,1,2,
95,Do you know any male B-list actors?,actor,male,NNS,JJ,yes,2,18,
96,Do you know any male B-list actors?,male,actor,JJ,NNS,yes,2,18,
97,Do you know any male B-list actors?,b-list,actor,JJ,NNS,no,1,3,
98,"Buff Actors, Redhead Actresses?",buff,actor,NN,NNS,no,1,2,
99,Badass old men actors?,badass,actor,NN,NNS,no,3,2,
100,Badass old men actors?,old,actor,JJ,NNS,no,2,8,
101,Badass old men actors?,men,actor,NNS,NNS,no,1,2,
102,Can you please give me a small list of Popular Actors & Movies that are out right now?,popular,actor,JJ,NNS,no,1,1,
103,Teenage Male Actor w/ blonde hair list?,actor,male,NN,NN,yes,1,18,
104,Teenage Male Actor w/ blonde hair list?,male,actor,NN,NN,yes,1,18,
105,Can you give a list of female voice actors who do male roles?,female,actor,JJ,NNS,yes,2,4,
106,Can you give a list of female voice actors who do male roles?,voice,actor,NN,NNS,no,1,5,
107,Can you give a list of female voice actors who do male roles?,voice,female,NN,JJ,no,1,1,
108,Can you give a list of female voice actors who do male roles?,actor,female,NNS,JJ,yes,2,4,
109,Can you give a list of female voice actors who do male roles?,role,male,NNS,JJ,no,1,1,
110,A list of more TEENAGE actors with brown hair?, tee,actor,nan,NNS,no,10,1,
111,A list of more TEENAGE actors with brown hair?,nage,actor,nan,NNS,no,10,1,
112,"Where can I find a list of notable actors that have performed in the Broadway musical ""Little Me""?",notable,actor,JJ,NNS,no,1,2,
113,List of actors/actresses who deserve an oscar or nomination?,actress,actor,nan,nan,no,10,8,
114,I need a list of short Actors?,short,actor,JJ,NNS,no,1,1,
115,A List of Red Headed Actors?,red,actor,JJ,NNS,no,2,1,
116,A List of Red Headed Actors?,headed,actor,VBN,NNS,no,1,1,
117,I want a list of Hollywood Actors and actresses.?,hollywood,actor,NN,NNS,no,1,3,
118,A list of blonde actors who can sing?,blonde,actor,JJ,NNS,no,1,2,
119,Can anyone give me a list of actors/actresses who have college degrees?,actress,actor,nan,nan,no,13,8,
120,an someone list for me famous male spanish actors?,famous,male,JJ,JJ,no,1,3,
121,an someone list for me famous male spanish actors?,spanish,male,JJ,JJ,no,1,2,
122,an someone list for me famous male spanish actors?,actor,male,NNS,JJ,yes,2,18,
123,an someone list for me famous male spanish actors?,famous,actor,JJ,NNS,no,3,10,
124,an someone list for me famous male spanish actors?,male,actor,JJ,NNS,yes,2,18,
125,an someone list for me famous male spanish actors?,spanish,actor,JJ,NNS,no,1,1,
126,List of prominent actors of the 50's?,prominent,actor,JJ,NNS,no,1,1,
127,List of teenage guy actors?,teenage,actor,NN,NNS,no,2,6,
128,List of teenage guy actors?,guy,actor,NN,NNS,no,1,2,
129,Teenage Guy Actors,teenage,actor,NN,NNS,no,2,6,
130,Teenage Guy Actors,guy,actor,NN,NNS,no,1,2,
131,"Can any one list some really hot younger male famous people(actors,bmxers,skatboard... ect. )?",famous,male,JJ,JJ,no,1,3,
132,"Can any one list some really hot younger male famous people(actors,bmxers,skatboard... ect. )?",people,male,NNS,JJ,no,2,2,
133,Need list of male toddler actors....?,toddler,male,NN,JJ,no,1,2,
134,Need list of male toddler actors....?,actor,male,NNS,JJ,yes,2,18,
135,Need list of male toddler actors....?,male,actor,JJ,NNS,yes,2,18,
136,Need list of male toddler actors....?,toddler,actor,NN,NNS,no,1,2,
137,Can you give me a list of teenage/child actors?,teenage,actor,nan,NNS,no,10,6,
138,Can you give me a list of teenage/child actors?,child,actor,nan,NNS,no,10,3,
139,A List of 12 year old girl actors?,year,actor,NN,NNS,yes,3,5,
140,A List of 12 year old girl actors?,old,actor,JJ,NNS,no,2,8,
141,A List of 12 year old girl actors?,girl,actor,NN,NNS,no,1,1,
142,A List of 12 year old girl actors?,old,year,JJ,NN,no,1,6,
143,A List of 12 year old girl actors?,girl,year,NN,NN,no,2,2,
144,A List of 12 year old girl actors?,actor,year,NNS,NN,yes,3,5,
145,Anyone know gay actors? (male)?,gay,actor,NN,NNS,no,1,4,
146,I need a list of actors/actresses!?,actress,actor,nan,nan,no,8,8,
147,A List of CSI Las Vegas Actors that Died or Left the Show?, csi,actor,nan,NNS,no,14,1,
148,A List of CSI Las Vegas Actors that Died or Left the Show?,la,actor,NNS,NNS,no,2,1,
149,A List of CSI Las Vegas Actors that Died or Left the Show?,vega,actor,VBP,NNS,no,1,1,
150,Can I have a list of 12 or 13 year old famous actors ?,year,actor,NN,NNS,yes,3,5,
151,Can I have a list of 12 or 13 year old famous actors ?,old,actor,JJ,NNS,no,2,8,
152,Can I have a list of 12 or 13 year old famous actors ?,famous,actor,JJ,NNS,no,1,10,
153,Can I have a list of 12 or 13 year old famous actors ?,old,year,JJ,NN,no,1,6,
154,Can I have a list of 12 or 13 year old famous actors ?,famous,year,JJ,NN,no,2,1,
155,Can I have a list of 12 or 13 year old famous actors ?,actor,year,NNS,NN,yes,3,5,
156,List of iconic actors or actresses.?,iconic,actor,JJ,NNS,no,1,2,
157,List of male teen actors???10 points!!!?,teen,male,JJ,NN,no,1,3,
158,List of male teen actors???10 points!!!?,actor,male,NNS,NN,yes,2,18,
159,List of male teen actors???10 points!!!?,male,actor,NN,NNS,yes,2,18,
160,List of male teen actors???10 points!!!?,teen,actor,JJ,NNS,no,1,5,
161,List any well known African American actors/actresses of the 1950s?,african,actor,JJ,nan,no,11,1,
162,List any well known African American actors/actresses of the 1950s?,american,actor,JJ,nan,no,11,1,
163,List any well known African American actors/actresses of the 1950s?,actress,actor,nan,nan,no,11,8,
164,List of funniest actors and actresses in America?,funniest,actor,JJ,NNS,no,1,1,
165,A list of young female teen actors?,young,actor,JJ,NNS,no,3,15,
166,A list of young female teen actors?,female,actor,NN,NNS,yes,2,4,
167,A list of young female teen actors?,teen,actor,JJ,NNS,no,1,5,
168,A list of young female teen actors?,young,female,JJ,NN,no,1,2,
169,A list of young female teen actors?,teen,female,JJ,NN,no,1,2,
170,A list of young female teen actors?,actor,female,NNS,NN,yes,2,4,
171,Can you give me a list of black haired actors?,black,actor,JJ,NNS,no,2,7,
172,Can you give me a list of black haired actors?,haired,actor,JJ,NNS,no,1,1,
173,"Can someone give me a list of Catholic actors, singers, and sports figures?",catholic,actor,JJ,NNS,no,1,3,
174,"Can someone give me a list of Catholic actors, singers, and sports figures?",figure,sport,NNS,NNS,no,1,3,
175,List of 10 most famous actors or actresses in Canada?,famous,actor,JJ,NNS,no,1,10,
176,White actors with black ethnicity?,white,actor,JJ,NNS,no,1,3,
177,Can U plz list the name of the bollywood actors who are supposedly gay??,bollywood,actor,NN,NNS,no,1,5,
178,Where can I find a website that lists the different actors that were supposed to star in movies but didn't?,different,actor,JJ,NNS,no,1,1,
179,List actors who died in their 20s or 30s and 40s?,list,actor,NN,NNS,no,1,7,
180,I need a list of good young actors & actresses. Please & thank you?,good,actor,JJ,NNS,no,2,11,
181,I need a list of good young actors & actresses. Please & thank you?,young,actor,JJ,NNS,no,1,15,
182,I need a list of good young actors & actresses. Please & thank you?,actress,actor,NNS,NNS,no,2,8,
183,ist down 5 or more top actor or model (men only) that you like and give your reason?,top,actor,JJ,NN,no,1,2,
184,"How can I find a list of deceased actors from AMC, GH, & OLTL that spans the last 40 years?",deceased,actor,JJ,NNS,no,1,1,
185,List of Young Actors/Singers?,young,actor,JJ,nan,no,5,15,
186,List of Young Actors/Singers?,singer,actor,nan,nan,no,5,1,
187,List of attractive male actors under the age of 21?,attractive,male,JJ,JJ,no,1,1,
188,List of attractive male actors under the age of 21?,actor,male,NNS,JJ,yes,1,18,
189,List of attractive male actors under the age of 21?,attractive,actor,JJ,NNS,no,2,2,
190,List of attractive male actors under the age of 21?,male,actor,JJ,NNS,yes,1,18,
191,Where can someone find a list or directory of legitimate agents for actors in NYC?,legitimate,agent,JJ,NNS,no,1,1,
192,YOUNG FAMOUS ACTORS! For a book report?,report,book,NN,NN,no,1,1,
193,"Overall most rappers makes bad actors. I think ATL was a good movie but i wish they would have replace T.I.P character because personally I think he mested up some scenes.Like this scene at the bottom. 

http://www.youtube.com/watch?v=B4SGekZDglM 


Yeah he did good in alot of scene only because he was acting himself but the emotional scenes kinda exposed him. Lauren London and the other actors did a great job but T.I, it felt like he was talking off the wall at time. Any body can act themselves don,t me your a great actor. Tupac,s a great actor because he started his career as a actor unlike cam,ron who acts his self in all his film. feel free to correct me if i,m wrong. 

good actors 
2pac, bow wow, methodman, ludacris, Queen Latifah, Will Smith, Mark 'Marky Mark' Wahlberg, andre 3000 


bad actors 
t.i.p, cam,ron snoop dogg, ice t, Eminem, the hole dipset, the hole rockafella. master p, lil romeo, (chris brown beyonce) singer, nas, dmx, damon dash, 50 cent, ja rule 

My favorite actor is Don Cheadle Larenz Tate and Shia LaBeouf 

Update: yeah i forgot mos def yeah hes on my good actors list",bad,actor,JJ,NNS,no,1,3,
194,"Overall most rappers makes bad actors. I think ATL was a good movie but i wish they would have replace T.I.P character because personally I think he mested up some scenes.Like this scene at the bottom. 

http://www.youtube.com/watch?v=B4SGekZDglM 


Yeah he did good in alot of scene only because he was acting himself but the emotional scenes kinda exposed him. Lauren London and the other actors did a great job but T.I, it felt like he was talking off the wall at time. Any body can act themselves don,t me your a great actor. Tupac,s a great actor because he started his career as a actor unlike cam,ron who acts his self in all his film. feel free to correct me if i,m wrong. 

good actors 
2pac, bow wow, methodman, ludacris, Queen Latifah, Will Smith, Mark 'Marky Mark' Wahlberg, andre 3000 


bad actors 
t.i.p, cam,ron snoop dogg, ice t, Eminem, the hole dipset, the hole rockafella. master p, lil romeo, (chris brown beyonce) singer, nas, dmx, damon dash, 50 cent, ja rule 

My favorite actor is Don Cheadle Larenz Tate and Shia LaBeouf 

Update: yeah i forgot mos def yeah hes on my good actors list",good,movie,JJ,NN,no,1,1,
195,"Overall most rappers makes bad actors. I think ATL was a good movie but i wish they would have replace T.I.P character because personally I think he mested up some scenes.Like this scene at the bottom. 

http://www.youtube.com/watch?v=B4SGekZDglM 


Yeah he did good in alot of scene only because he was acting himself but the emotional scenes kinda exposed him. Lauren London and the other actors did a great job but T.I, it felt like he was talking off the wall at time. Any body can act themselves don,t me your a great actor. Tupac,s a great actor because he started his career as a actor unlike cam,ron who acts his self in all his film. feel free to correct me if i,m wrong. 

good actors 
2pac, bow wow, methodman, ludacris, Queen Latifah, Will Smith, Mark 'Marky Mark' Wahlberg, andre 3000 


bad actors 
t.i.p, cam,ron snoop dogg, ice t, Eminem, the hole dipset, the hole rockafella. master p, lil romeo, (chris brown beyonce) singer, nas, dmx, damon dash, 50 cent, ja rule 

My favorite actor is Don Cheadle Larenz Tate and Shia LaBeouf 

Update: yeah i forgot mos def yeah hes on my good actors list",great,actor,JJ,NNS,no,68,2,
196,"Overall most rappers makes bad actors. I think ATL was a good movie but i wish they would have replace T.I.P character because personally I think he mested up some scenes.Like this scene at the bottom. 

http://www.youtube.com/watch?v=B4SGekZDglM 


Yeah he did good in alot of scene only because he was acting himself but the emotional scenes kinda exposed him. Lauren London and the other actors did a great job but T.I, it felt like he was talking off the wall at time. Any body can act themselves don,t me your a great actor. Tupac,s a great actor because he started his career as a actor unlike cam,ron who acts his self in all his film. feel free to correct me if i,m wrong. 

good actors 
2pac, bow wow, methodman, ludacris, Queen Latifah, Will Smith, Mark 'Marky Mark' Wahlberg, andre 3000 


bad actors 
t.i.p, cam,ron snoop dogg, ice t, Eminem, the hole dipset, the hole rockafella. master p, lil romeo, (chris brown beyonce) singer, nas, dmx, damon dash, 50 cent, ja rule 

My favorite actor is Don Cheadle Larenz Tate and Shia LaBeouf 

Update: yeah i forgot mos def yeah hes on my good actors list",great,actor,JJ,NNS,no,68,2,
197,"Overall most rappers makes bad actors. I think ATL was a good movie but i wish they would have replace T.I.P character because personally I think he mested up some scenes.Like this scene at the bottom. 

http://www.youtube.com/watch?v=B4SGekZDglM 


Yeah he did good in alot of scene only because he was acting himself but the emotional scenes kinda exposed him. Lauren London and the other actors did a great job but T.I, it felt like he was talking off the wall at time. Any body can act themselves don,t me your a great actor. Tupac,s a great actor because he started his career as a actor unlike cam,ron who acts his self in all his film. feel free to correct me if i,m wrong. 

good actors 
2pac, bow wow, methodman, ludacris, Queen Latifah, Will Smith, Mark 'Marky Mark' Wahlberg, andre 3000 


bad actors 
t.i.p, cam,ron snoop dogg, ice t, Eminem, the hole dipset, the hole rockafella. master p, lil romeo, (chris brown beyonce) singer, nas, dmx, damon dash, 50 cent, ja rule 

My favorite actor is Don Cheadle Larenz Tate and Shia LaBeouf 

Update: yeah i forgot mos def yeah hes on my good actors list",good,actor,JJ,NNS,no,7,11,
198,"Overall most rappers makes bad actors. I think ATL was a good movie but i wish they would have replace T.I.P character because personally I think he mested up some scenes.Like this scene at the bottom. 

http://www.youtube.com/watch?v=B4SGekZDglM 


Yeah he did good in alot of scene only because he was acting himself but the emotional scenes kinda exposed him. Lauren London and the other actors did a great job but T.I, it felt like he was talking off the wall at time. Any body can act themselves don,t me your a great actor. Tupac,s a great actor because he started his career as a actor unlike cam,ron who acts his self in all his film. feel free to correct me if i,m wrong. 

good actors 
2pac, bow wow, methodman, ludacris, Queen Latifah, Will Smith, Mark 'Marky Mark' Wahlberg, andre 3000 


bad actors 
t.i.p, cam,ron snoop dogg, ice t, Eminem, the hole dipset, the hole rockafella. master p, lil romeo, (chris brown beyonce) singer, nas, dmx, damon dash, 50 cent, ja rule 

My favorite actor is Don Cheadle Larenz Tate and Shia LaBeouf 

Update: yeah i forgot mos def yeah hes on my good actors list",bad,actor,JJ,NNS,no,1,3,
199,"Overall most rappers makes bad actors. I think ATL was a good movie but i wish they would have replace T.I.P character because personally I think he mested up some scenes.Like this scene at the bottom. 

http://www.youtube.com/watch?v=B4SGekZDglM 


Yeah he did good in alot of scene only because he was acting himself but the emotional scenes kinda exposed him. Lauren London and the other actors did a great job but T.I, it felt like he was talking off the wall at time. Any body can act themselves don,t me your a great actor. Tupac,s a great actor because he started his career as a actor unlike cam,ron who acts his self in all his film. feel free to correct me if i,m wrong. 

good actors 
2pac, bow wow, methodman, ludacris, Queen Latifah, Will Smith, Mark 'Marky Mark' Wahlberg, andre 3000 


bad actors 
t.i.p, cam,ron snoop dogg, ice t, Eminem, the hole dipset, the hole rockafella. master p, lil romeo, (chris brown beyonce) singer, nas, dmx, damon dash, 50 cent, ja rule 

My favorite actor is Don Cheadle Larenz Tate and Shia LaBeouf 

Update: yeah i forgot mos def yeah hes on my good actors list",ja,actor,NN,NNS,no,208,1,
200,"Overall most rappers makes bad actors. I think ATL was a good movie but i wish they would have replace T.I.P character because personally I think he mested up some scenes.Like this scene at the bottom. 

http://www.youtube.com/watch?v=B4SGekZDglM 


Yeah he did good in alot of scene only because he was acting himself but the emotional scenes kinda exposed him. Lauren London and the other actors did a great job but T.I, it felt like he was talking off the wall at time. Any body can act themselves don,t me your a great actor. Tupac,s a great actor because he started his career as a actor unlike cam,ron who acts his self in all his film. feel free to correct me if i,m wrong. 

good actors 
2pac, bow wow, methodman, ludacris, Queen Latifah, Will Smith, Mark 'Marky Mark' Wahlberg, andre 3000 


bad actors 
t.i.p, cam,ron snoop dogg, ice t, Eminem, the hole dipset, the hole rockafella. master p, lil romeo, (chris brown beyonce) singer, nas, dmx, damon dash, 50 cent, ja rule 

My favorite actor is Don Cheadle Larenz Tate and Shia LaBeouf 

Update: yeah i forgot mos def yeah hes on my good actors list",rule,actor,NN,NNS,no,209,1,
201,"Overall most rappers makes bad actors. I think ATL was a good movie but i wish they would have replace T.I.P character because personally I think he mested up some scenes.Like this scene at the bottom. 

http://www.youtube.com/watch?v=B4SGekZDglM 


Yeah he did good in alot of scene only because he was acting himself but the emotional scenes kinda exposed him. Lauren London and the other actors did a great job but T.I, it felt like he was talking off the wall at time. Any body can act themselves don,t me your a great actor. Tupac,s a great actor because he started his career as a actor unlike cam,ron who acts his self in all his film. feel free to correct me if i,m wrong. 

good actors 
2pac, bow wow, methodman, ludacris, Queen Latifah, Will Smith, Mark 'Marky Mark' Wahlberg, andre 3000 


bad actors 
t.i.p, cam,ron snoop dogg, ice t, Eminem, the hole dipset, the hole rockafella. master p, lil romeo, (chris brown beyonce) singer, nas, dmx, damon dash, 50 cent, ja rule 

My favorite actor is Don Cheadle Larenz Tate and Shia LaBeouf 

Update: yeah i forgot mos def yeah hes on my good actors list","

m",actor,nan,NNS,no,240,1,
202,"Overall most rappers makes bad actors. I think ATL was a good movie but i wish they would have replace T.I.P character because personally I think he mested up some scenes.Like this scene at the bottom. 

http://www.youtube.com/watch?v=B4SGekZDglM 


Yeah he did good in alot of scene only because he was acting himself but the emotional scenes kinda exposed him. Lauren London and the other actors did a great job but T.I, it felt like he was talking off the wall at time. Any body can act themselves don,t me your a great actor. Tupac,s a great actor because he started his career as a actor unlike cam,ron who acts his self in all his film. feel free to correct me if i,m wrong. 

good actors 
2pac, bow wow, methodman, ludacris, Queen Latifah, Will Smith, Mark 'Marky Mark' Wahlberg, andre 3000 


bad actors 
t.i.p, cam,ron snoop dogg, ice t, Eminem, the hole dipset, the hole rockafella. master p, lil romeo, (chris brown beyonce) singer, nas, dmx, damon dash, 50 cent, ja rule 

My favorite actor is Don Cheadle Larenz Tate and Shia LaBeouf 

Update: yeah i forgot mos def yeah hes on my good actors list",favorite,actor,JJ,NNS,no,211,2,
203,"Overall most rappers makes bad actors. I think ATL was a good movie but i wish they would have replace T.I.P character because personally I think he mested up some scenes.Like this scene at the bottom. 

http://www.youtube.com/watch?v=B4SGekZDglM 


Yeah he did good in alot of scene only because he was acting himself but the emotional scenes kinda exposed him. Lauren London and the other actors did a great job but T.I, it felt like he was talking off the wall at time. Any body can act themselves don,t me your a great actor. Tupac,s a great actor because he started his career as a actor unlike cam,ron who acts his self in all his film. feel free to correct me if i,m wrong. 

good actors 
2pac, bow wow, methodman, ludacris, Queen Latifah, Will Smith, Mark 'Marky Mark' Wahlberg, andre 3000 


bad actors 
t.i.p, cam,ron snoop dogg, ice t, Eminem, the hole dipset, the hole rockafella. master p, lil romeo, (chris brown beyonce) singer, nas, dmx, damon dash, 50 cent, ja rule 

My favorite actor is Don Cheadle Larenz Tate and Shia LaBeouf 

Update: yeah i forgot mos def yeah hes on my good actors list",good,actor,JJ,NNS,no,7,11,
204,"Overall most rappers makes bad actors. I think ATL was a good movie but i wish they would have replace T.I.P character because personally I think he mested up some scenes.Like this scene at the bottom. 

http://www.youtube.com/watch?v=B4SGekZDglM 


Yeah he did good in alot of scene only because he was acting himself but the emotional scenes kinda exposed him. Lauren London and the other actors did a great job but T.I, it felt like he was talking off the wall at time. Any body can act themselves don,t me your a great actor. Tupac,s a great actor because he started his career as a actor unlike cam,ron who acts his self in all his film. feel free to correct me if i,m wrong. 

good actors 
2pac, bow wow, methodman, ludacris, Queen Latifah, Will Smith, Mark 'Marky Mark' Wahlberg, andre 3000 


bad actors 
t.i.p, cam,ron snoop dogg, ice t, Eminem, the hole dipset, the hole rockafella. master p, lil romeo, (chris brown beyonce) singer, nas, dmx, damon dash, 50 cent, ja rule 

My favorite actor is Don Cheadle Larenz Tate and Shia LaBeouf 

Update: yeah i forgot mos def yeah hes on my good actors list",list,actor,NN,NNS,no,234,7,
205,what website can you find a list of hispanic actors??????????????????????????????????...,hispanic,actor,JJ,NNS,no,1,4,
206,and i dont mean musicians or athletes. I just wanna know the a and b list actors. thanks!,dont,musician,JJ,NNS,no,2,1,
207,and i dont mean musicians or athletes. I just wanna know the a and b list actors. thanks!,mean,musician,JJ,NNS,no,1,1,
208,and i dont mean musicians or athletes. I just wanna know the a and b list actors. thanks!,list,actor,NN,NNS,no,1,7,
209,can you please give me a list of the most famous black actors?,famous,actor,JJ,NNS,no,2,10,
210,can you please give me a list of the most famous black actors?,black,actor,JJ,NNS,no,1,7,
211,How many nerdy/geeky actors can you list?,many,actor,JJ,NNS,no,2,3,
212,How many nerdy/geeky actors can you list?,nerdy,actor,nan,NNS,no,8,2,
213,How many nerdy/geeky actors can you list?,geeky,actor,nan,NNS,no,8,2,
214,"I want a list of good ""handsome/beautiful"" actors for a list of a VERY debatable movie series.",good,actor,JJ,NNS,no,4,11,
215,"I want a list of good ""handsome/beautiful"" actors for a list of a VERY debatable movie series.",handsome,actor,nan,NNS,no,20,1,
216,"I want a list of good ""handsome/beautiful"" actors for a list of a VERY debatable movie series.",beautiful,actor,nan,NNS,no,20,1,
